output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62,A.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64, 0.019829403068113077, insert, 1.0, 0.0, 0.1935483870967742
output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62,B.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65, 0.019829403068113077, insert, 1.0, 0.0, 0.1935483870967742
output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62,C.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66, 0.019829403068113077, insert, 1.0, 0.0, 0.1935483870967742
output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62,D.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67, 0.019829403068113077, insert, 1.0, 0.0, 0.1935483870967742
A.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62, 0.019829403068113077, insert, 1.0, 0.0, 0.1935483870967742
B.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62, 0.019829403068113077, insert, 1.0, 0.0, 0.1935483870967742
C.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66,output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62, 0.019829403068113077, insert, 1.0, 0.0, 0.1935483870967742
D.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67,output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62, 0.019829403068113077, insert, 1.0, 0.0, 0.1935483870967742
A.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64,output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 68, 0.019614149679544744, insert, 1.0, 0.0, 0.18421052631578946
B.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65,output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 68, 0.019614149679544744, insert, 1.0, 0.0, 0.18421052631578946
C.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66,output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 68, 0.019614149679544744, insert, 1.0, 0.0, 0.18421052631578946
D.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67,output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 68, 0.019614149679544744, insert, 1.0, 0.0, 0.18421052631578946
output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 68,A.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64, 0.019614149679544744, insert, 1.0, 0.0, 0.18421052631578946
output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 68,B.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65, 0.019614149679544744, insert, 1.0, 0.0, 0.18421052631578946
output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 68,C.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66, 0.019614149679544744, insert, 1.0, 0.0, 0.18421052631578946
output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 68,D.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 67, 0.019614149679544744, insert, 1.0, 0.0, 0.18421052631578946
format,SIMPLE_NAME, line no: 72,FloatObj,SIMPLE_NAME, line no: 60, 0.0195625, insert, 1.0, 0.0, 0.375
format,SIMPLE_NAME, line no: 72,output,SIMPLE_NAME, line no: 49, 0.01878, insert, 0.7692307692307693, 0.0, 0.3333333333333333
format,SIMPLE_NAME, line no: 72,score,SIMPLE_NAME, line no: 61, 0.01878, insert, 1.0, 0.0, 0.3333333333333333
format,SIMPLE_NAME, line no: 72,nextFloat,SIMPLE_NAME, line no: 64, 0.01878, insert, 1.0, 0.0, 0.3333333333333333
String,SIMPLE_NAME, line no: 72,println,SIMPLE_NAME, line no: 56, 0.01767934065934066, insert, 0.7692307692307693, 0.0, 0.42857142857142855
output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("Student has failed the course\n")); ,EXPRESSION_STATEMENT, line no: 80, 0.016262712440288454, insert, 0.06629834254143646, 1.0, 0.6612903225806451
String,SIMPLE_NAME, line no: 72,args,SIMPLE_NAME, line no: 50, 0.01589076923076923, insert, 0.7692307692307693, 0.0, 0.3333333333333333
String,SIMPLE_NAME, line no: 72,length,SIMPLE_NAME, line no: 50, 0.01589076923076923, insert, 0.7692307692307693, 0.0, 0.3333333333333333
String,SIMPLE_NAME, line no: 72,System,SIMPLE_NAME, line no: 53, 0.01589076923076923, insert, 0.6153846153846154, 0.0, 0.3333333333333333
format,SIMPLE_NAME, line no: 72,out,SIMPLE_NAME, line no: 56, 0.01589076923076923, insert, 0.7692307692307693, 0.0, 0.3333333333333333
output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("Student has an C grade\n")); ,EXPRESSION_STATEMENT, line no: 76, 0.015806006230121624, insert, 0.06077348066298342, 1.0, 0.6451612903225806
output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("Student has an B grade\n")); ,EXPRESSION_STATEMENT, line no: 74, 0.015721101327481914, insert, 0.055248618784530384, 1.0, 0.6451612903225806
String,SIMPLE_NAME, line no: 72,output,SIMPLE_NAME, line no: 49, 0.01565, insert, 0.7692307692307693, 0.0, 0.16666666666666666
String,SIMPLE_NAME, line no: 72,score,SIMPLE_NAME, line no: 61, 0.01565, insert, 1.0, 0.0, 0.16666666666666666
String,SIMPLE_NAME, line no: 72,format,SIMPLE_NAME, line no: 62, 0.01565, insert, 1.0, 0.0, 0.16666666666666666
format,SIMPLE_NAME, line no: 72,value,SIMPLE_NAME, line no: 7, 0.01565, insert, 0.46153846153846156, 0.0, 0.16666666666666666
format,SIMPLE_NAME, line no: 72,String,SIMPLE_NAME, line no: 49, 0.01565, insert, 0.7692307692307693, 0.0, 0.16666666666666666
output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("Stdent has an A grade\n")); ,EXPRESSION_STATEMENT, line no: 72, 0.015636196424842205, insert, 0.049723756906077346, 1.0, 0.6451612903225806
"Stdent has an A grade\n",STRING_LITERAL, line no: 72,String,SIMPLE_NAME, line no: 49, 0.0155248, insert, 0.7692307692307693, 0.0, 0.16
"Stdent has an A grade\n",STRING_LITERAL, line no: 72,scanner,SIMPLE_NAME, line no: 51, 0.0155248, insert, 0.6153846153846154, 0.0, 0.16
output+=(String.format("Enter thresholds for A  B  C  D\n")); ,EXPRESSION_STATEMENT, line no: 62,output+=(String.format("Student has an D grade\n")); ,EXPRESSION_STATEMENT, line no: 78, 0.015519109825234214, insert, 0.06629834254143646, 1.0, 0.6290322580645161
String,SIMPLE_NAME, line no: 72,scanner,SIMPLE_NAME, line no: 51, 0.015202857142857143, insert, 0.6153846153846154, 0.0, 0.14285714285714285
format,SIMPLE_NAME, line no: 72,scanner,SIMPLE_NAME, line no: 51, 0.015202857142857143, insert, 0.6153846153846154, 0.0, 0.14285714285714285
output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("Student has failed the course\n")); ,EXPRESSION_STATEMENT, line no: 80, 0.015050316872265239, insert, 0.06629834254143646, 1.0, 0.6086956521739131
format,SIMPLE_NAME, line no: 72,println,SIMPLE_NAME, line no: 56, 0.014996483516483515, insert, 0.7692307692307693, 0.0, 0.2857142857142857
String,SIMPLE_NAME, line no: 72,FloatObj,SIMPLE_NAME, line no: 60, 0.014867500000000002, insert, 1.0, 0.0, 0.125
"Stdent has an A grade\n",STRING_LITERAL, line no: 72,score,SIMPLE_NAME, line no: 61, 0.014773600000000001, insert, 1.0, 0.0, 0.12
"Stdent has an A grade\n",STRING_LITERAL, line no: 72,nextFloat,SIMPLE_NAME, line no: 64, 0.014773600000000001, insert, 1.0, 0.0, 0.12
String,SIMPLE_NAME, line no: 62,String,SIMPLE_NAME, line no: 49, 0.014754961500759294, insert, 0.2756756756756757, 0.0, 1.0
format,SIMPLE_NAME, line no: 62,format,SIMPLE_NAME, line no: 62, 0.014754961500759294, insert, 1.0, 0.0, 1.0
String,SIMPLE_NAME, line no: 63,String,SIMPLE_NAME, line no: 49, 0.014754961500759294, insert, 0.2756756756756757, 0.0, 1.0
format,SIMPLE_NAME, line no: 63,format,SIMPLE_NAME, line no: 62, 0.014754961500759294, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 64,scanner,SIMPLE_NAME, line no: 51, 0.014754961500759294, insert, 0.08695652173913043, 1.0, 1.0
nextFloat,SIMPLE_NAME, line no: 64,nextFloat,SIMPLE_NAME, line no: 64, 0.014754961500759294, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 65,scanner,SIMPLE_NAME, line no: 51, 0.014754961500759294, insert, 0.08695652173913043, 1.0, 1.0
nextFloat,SIMPLE_NAME, line no: 65,nextFloat,SIMPLE_NAME, line no: 64, 0.014754961500759294, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 66,scanner,SIMPLE_NAME, line no: 51, 0.014754961500759294, insert, 0.08695652173913043, 1.0, 1.0
nextFloat,SIMPLE_NAME, line no: 66,nextFloat,SIMPLE_NAME, line no: 64, 0.014754961500759294, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 67,scanner,SIMPLE_NAME, line no: 51, 0.014754961500759294, insert, 0.08695652173913043, 1.0, 1.0
nextFloat,SIMPLE_NAME, line no: 67,nextFloat,SIMPLE_NAME, line no: 64, 0.014754961500759294, insert, 1.0, 0.0, 1.0
String,SIMPLE_NAME, line no: 69,String,SIMPLE_NAME, line no: 49, 0.014754961500759294, insert, 0.2756756756756757, 0.0, 1.0
format,SIMPLE_NAME, line no: 69,format,SIMPLE_NAME, line no: 62, 0.014754961500759294, insert, 1.0, 0.0, 1.0
scanner,SIMPLE_NAME, line no: 70,scanner,SIMPLE_NAME, line no: 51, 0.014754961500759294, insert, 0.08695652173913043, 1.0, 1.0
nextFloat,SIMPLE_NAME, line no: 70,nextFloat,SIMPLE_NAME, line no: 64, 0.014754961500759294, insert, 1.0, 0.0, 1.0
String,SIMPLE_NAME, line no: 72,nextFloat,SIMPLE_NAME, line no: 64, 0.014606666666666667, insert, 1.0, 0.0, 0.1111111111111111
output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("Student has an D grade\n")); ,EXPRESSION_STATEMENT, line no: 78, 0.014382152203665776, insert, 0.06629834254143646, 1.0, 0.5797101449275363
output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("Student has an C grade\n")); ,EXPRESSION_STATEMENT, line no: 76, 0.014297247301026064, insert, 0.06077348066298342, 1.0, 0.5797101449275363
output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("Student has an B grade\n")); ,EXPRESSION_STATEMENT, line no: 74, 0.014212342398386353, insert, 0.055248618784530384, 1.0, 0.5797101449275363
output+=(String.format("in that order  decreasing percentages > ")); ,EXPRESSION_STATEMENT, line no: 63,output+=(String.format("Stdent has an A grade\n")); ,EXPRESSION_STATEMENT, line no: 72, 0.014127437495746643, insert, 0.049723756906077346, 1.0, 0.5797101449275363
output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 68,output+=(String.format("Student has failed the course\n")); ,EXPRESSION_STATEMENT, line no: 80, 0.014061257329930507, insert, 0.06629834254143646, 1.0, 0.5657894736842105
"Stdent has an A grade\n",STRING_LITERAL, line no: 72,value,SIMPLE_NAME, line no: 7, 0.0140224, insert, 0.46153846153846156, 0.0, 0.08
"Stdent has an A grade\n",STRING_LITERAL, line no: 72,output,SIMPLE_NAME, line no: 49, 0.0140224, insert, 0.7692307692307693, 0.0, 0.08
"Stdent has an A grade\n",STRING_LITERAL, line no: 72,format,SIMPLE_NAME, line no: 62, 0.0140224, insert, 1.0, 0.0, 0.08
String,SIMPLE_NAME, line no: 72,util,SIMPLE_NAME, line no: 51, 0.013964615384615384, insert, 0.6153846153846154, 0.0, 0.3333333333333333
String,SIMPLE_NAME, line no: 72,in,SIMPLE_NAME, line no: 53, 0.013964615384615384, insert, 0.6153846153846154, 0.0, 0.3333333333333333
String,SIMPLE_NAME, line no: 72,mainClass,SIMPLE_NAME, line no: 48, 0.013804102564102564, insert, 0.7692307692307693, 0.0, 0.2222222222222222
format,SIMPLE_NAME, line no: 72,mainClass,SIMPLE_NAME, line no: 48, 0.013804102564102564, insert, 0.7692307692307693, 0.0, 0.2222222222222222
output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 68,output+=(String.format("Student has an D grade\n")); ,EXPRESSION_STATEMENT, line no: 78, 0.013454634143965206, insert, 0.06629834254143646, 1.0, 0.5394736842105263
"Stdent has an A grade\n",STRING_LITERAL, line no: 72,grade_0cea42f9_003,SIMPLE_NAME, line no: 48, 0.013386769230769232, insert, 0.7692307692307693, 0.0, 0.2
output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 68,output+=(String.format("Student has an C grade\n")); ,EXPRESSION_STATEMENT, line no: 76, 0.013369729241325495, insert, 0.06077348066298342, 1.0, 0.5394736842105263
output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 68,output+=(String.format("Student has an B grade\n")); ,EXPRESSION_STATEMENT, line no: 74, 0.013284824338685785, insert, 0.055248618784530384, 1.0, 0.5394736842105263
"Stdent has an A grade\n",STRING_LITERAL, line no: 72,FloatObj,SIMPLE_NAME, line no: 60, 0.013271200000000002, insert, 1.0, 0.0, 0.04
"Stdent has an A grade\n",STRING_LITERAL, line no: 72,A,SIMPLE_NAME, line no: 60, 0.013271200000000002, insert, 1.0, 0.0, 0.04
String,SIMPLE_NAME, line no: 72,Scanner,SIMPLE_NAME, line no: 51, 0.013070329670329669, insert, 0.6153846153846154, 0.0, 0.2857142857142857
output+=(String.format("Thank you. Now enter student score (percent) > ")); ,EXPRESSION_STATEMENT, line no: 68,output+=(String.format("Stdent has an A grade\n")); ,EXPRESSION_STATEMENT, line no: 72, 0.012896607843063422, insert, 0.049723756906077346, 1.0, 0.5263157894736842
String,SIMPLE_NAME, line no: 72,out,SIMPLE_NAME, line no: 56, 0.012760769230769232, insert, 0.7692307692307693, 0.0, 0.16666666666666666
format,SIMPLE_NAME, line no: 72,args,SIMPLE_NAME, line no: 50, 0.012760769230769232, insert, 0.7692307692307693, 0.0, 0.16666666666666666
format,SIMPLE_NAME, line no: 72,length,SIMPLE_NAME, line no: 50, 0.012760769230769232, insert, 0.7692307692307693, 0.0, 0.16666666666666666
format,SIMPLE_NAME, line no: 72,System,SIMPLE_NAME, line no: 53, 0.012760769230769232, insert, 0.6153846153846154, 0.0, 0.16666666666666666
"Stdent has an A grade\n",STRING_LITERAL, line no: 72,length,SIMPLE_NAME, line no: 50, 0.012635569230769231, insert, 0.7692307692307693, 0.0, 0.16
A.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 64,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.012279005574860228, insert, 0.281767955801105, 0.0, 0.3448275862068966
B.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 65,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.012279005574860228, insert, 0.281767955801105, 0.0, 0.3448275862068966
C.value=scanner.nextFloat(); ,EXPRESSION_STATEMENT, line no: 66,mainClass.exec(); ,EXPRESSION_STATEMENT, line no: 55, 0.012279005574860228, insert, 0.281767955801105, 0.0, 0.3448275862068966
